package_id;app_id;type;reason;Noted;Availibility
com.familyfirsttechnology.pornblocker.apk;com.familyfirsttechnology.pornblocker;VPN;Porn blocker, not specificlly design for ads blocking;;
com.mx.browser.apk;com.mx.browser;browser;Not mentioning about ads blocker or remover, just normal browser;;
com.prism.download.adblock.privacy.flash.player.incognito.private_browser.browser.apk;com.prism.download.adblock.privacy.flash.player.incognito.private_browser.browser;browser;Not mentioning about ads blocker or remover, just normal browser;;
com.msw.pornblocker.apk;com.msw.pornblocker;VPN;Porn blocker, not specificlly design for ads blocking;;
com.skip.video.ads.apk;com.skip.video.ads;VPN;Ads blocker for video ;;
com.teqtic.lockmeout.apk;com.teqtic.lockmeout;VPN;website blocker;;Not available
com.hanstudio.notifyblocker.apk;com.hanstudio.notifyblocker;VPN;Notification blocker per apps;General apps;
com.mw.applockerblocker.apk;com.mw.applockerblocker;VPN;Apps blocker;General apps;
co.blocksite.apk;co.blocksite;VPN;website blocker;General apps;
com.trendmicro.freetmms.gmobi.apk;com.trendmicro.freetmms.gmobi;VPN;Anti-virus;General apps;
com.comodo.cisme.antivirus.apk;com.comodo.cisme.antivirus;VPN;Anti-virus;General apps;
com.kiddoware.kidsafebrowser.apk;com.kiddoware.kidsafebrowser;browser;website blocker;;
co.easy4u.ncleaner.apk;co.easy4u.ncleaner;VPN;Notification blocker per apps;General apps;
io.funswitch.blocker.apk;io.funswitch.blocker;VPN;Porn blocker, not specificlly design for ads blocking;General apps;
com.camhart.pornblocker.apk;com.camhart.pornblocker;VPN;Porn blocker, not specificlly design for ads blocking;;
com.avira.android.apk;com.avira.android;VPN;Anti-virus;;
com.stayfocused.apk;com.stayfocused;VPN;Apps blocker;General apps;
com.keepsolid.privatebrowser.apk;com.keepsolid.privatebrowser;browser;Browser+VPN but not mentioning about ad blocking;;
com.blocking.sites.apk;com.blocking.sites;VPN;Porn blocker + website blocker;;
made.in.india.adfreemusic.apk;made.in.india.adfreemusic;VPN;Music stream ad blocker;General apps;
org.blokada.alarm.dnschanger.apk;org.blokada.alarm.dnschanger;VPN;Not an ad blocker;;
org.malwarebytes.antimalware.apk;org.malwarebytes.antimalware;VPN;Anti-virus;;
com.protectstar.firewall.apk;com.protectstar.firewall;VPN;Not an ad blocker;;
com.blocknotification.gamemode.apk;com.blocknotification.gamemode;VPN;Notification blocker during game play;;
com.bestnewstopadvideoonlinetips.govidestopdeguidetips.apk;com.bestnewstopadvideoonlinetips.govidestopdeguidetips;VPN;Not an ad blocker;;Not available
com.porn.blocker.purity.browser.apk;com.porn.blocker.purity.browser;browser;Porn blocker + website blocker;;
com.techproof.websiteblocker.apk;com.techproof.websiteblocker;VPN;website blocker;;Not available
com.thefrenchsoftware.radiomusicbox.apk;com.thefrenchsoftware.radiomusicbox;VPN;Adblock for radio;General apps;
com.notic.apk;com.notic;VPN;Notification blocker ;General apps;
matt.playtube.videotube.vancedtube.apk;matt.playtube.videotube.vancedtube;VPN;Adblock for youtube streaming;General apps;
co.zew.deebrowser.apk;co.zew.deebrowser;browser;Not mentioning about ads blocker or remover, just normal browser;;
com.nitron.mintbrowser.apk;com.nitron.mintbrowser;browser;Not mentioning about ads blocker or remover, just normal browser;;
com.thmf.as.skip_ads.apk;com.thmf.as.skip_ads;VPN;Adblock for youtube streaming;General apps;
com.alfeugds.adskipper.apk;com.alfeugds.adskipper;VPN;skip add from video streaming youtube;General apps;
com.segfaultstudios.suckmyads.apk;com.segfaultstudios.suckmyads;VPN;skip add from video streaming youtube, tinder;General apps;
browser4g.fast.internetwebexplorer.apk;browser4g.fast.internetwebexplorer;browser;Not mentioning about ads blocker or remover, just normal browser;;
com.agooday.skipads.apk;com.agooday.skipads;VPN;skip add from video streaming youtube;General apps;
com.emmanuelmolefi.skipadsapp.apk;com.emmanuelmolefi.skipadsapp;VPN;skip add from video streaming youtube;General apps;
to.freedom.android2.apk;to.freedom.android2;VPN;website blocker;General apps;
mtc.milesthecreator.adsaway.apk;mtc.milesthecreator.adsaway;VPN;Games;General apps;
com.TripleVGames.Adblocker.apk;com.TripleVGames.Adblocker;VPN;Games;General apps;
com.rhaon.ad_skip.apk;com.rhaon.ad_skip;VPN;skip add from video streaming youtube;General apps;
com.maximebertheau.uninstaller.apk;com.maximebertheau.uninstaller;VPN;Not an ad blocker. Multiple apps uninstaller;General apps;Not available
live.teekamsuthar.mutify.apk;live.teekamsuthar.mutify;VPN;Ads mute for spotify;General apps;
com.eset.ems2.gp.apk;com.eset.ems2.gp;VPN;Anti-virus;General apps;
com.skipads.skipyoutubeadsandcommercials.apk;com.skipads.skipyoutubeadsandcommercials;VPN;Adblock for youtube streaming;General apps;
com.getfilefrom.browserdownloader.apk;com.getfilefrom.browserdownloader;browser;Video Downloader;;
dnsfilter.android.apk;dnsfilter.android;VPN;DNS filter for domain blocking;;
com.nationaledtech.spinbrowser.apk;com.nationaledtech.spinbrowser;Plugin;website blocker;;
com.m24apps.appblocker.apk;com.m24apps.appblocker;VPN;website blocker;General apps;
com.ecosia.android.apk;com.ecosia.android;browser;Not an ad blocker;;
com.lookout.apk;com.lookout;VPN;Anti-virus;General apps;
com.utube.videotube.vanced.kit.apk;com.utube.videotube.vanced.kit;VPN;Adblock for youtube streaming;General apps;Not available
com.insher.main.apk;com.insher.main;VPN;skip add from video streaming youtube;General apps;
com.av1rus.adblockremover.apk;com.av1rus.adblockremover;VPN;Adblock remover. Need root access;General apps;
com.plustwo.skipads.apk;com.plustwo.skipads;VPN;skip add from video streaming youtube;General apps;
com.symantec.securewifi.apk;com.symantec.securewifi;VPN;Not an ad blocker. Wifi proxy;;
com.drweb.apk;com.drweb;VPN;Anti-virus;General apps;
bg.alexxx.playtubeapp.apk;bg.alexxx.playtubeapp;VPN;Adblock for youtube streaming;General apps;
com.psafe.vpn.apk;com.psafe.vpn;VPN;Not an ad blocker. VPN;;
com.kms.free.apk;com.kms.free;VPN;Anti-virus;General apps;
com.smsBlocker.apk;com.smsBlocker;VPN;SMS blocker;General apps;
